retweets_clinton,favorites_clinton,tw_count_cl,retweets_trump,favorites_trump,tw_count_tr,adjpoll_clinton,adjpoll_trump,index_weighted,date,Open,High,Low,Close,Adj Close,Volume,market_op_cl
10343.0,18407.0,9.0,37798.0,111713.0,7.0,49.39018333333333,36.71456,7.108428651729937e-09,2016-04-17,,,,,,,market_closed
15774.0,32522.0,16.0,30166.0,81057.0,7.0,41.70733166666667,41.84916333333333,0.0,2016-04-18,2078.83,2094.66,2073.65,2094.34,2094.34,3316880000.0,market_open
19237.0,41969.0,17.0,71062.0,196358.0,19.0,42.94991388888889,43.854084444444446,1.1965085976112345e-06,2016-04-19,2096.05,2104.05,2091.68,2100.8,2100.8,3896830000.0,market_open
38537.0,95533.0,26.0,30635.0,91925.0,7.0,45.14144166666667,40.746181666666665,8.987424291207963e-07,2016-04-20,2101.52,2111.05,2096.32,2102.4,2102.4,4184880000.0,market_open
11666.0,26331.0,10.0,24147.0,71647.0,4.0,41.58990666666667,45.99780333333334,3.079167635970848e-08,2016-04-21,2102.09,2103.78,2088.52,2091.48,2091.48,4175290000.0,market_open
15971.0,33700.0,15.0,23852.0,74276.0,6.0,28.92898333333333,49.27119666666667,1.4866739636166245e-07,2016-04-22,2091.49,2094.32,2081.2,2091.58,2091.58,3790580000.0,market_open
14289.0,28235.0,13.0,35666.0,109305.0,11.0,46.98506666666666,40.28533,7.418011143028052e-08,2016-04-23,,,,,,,market_closed
10336.0,18828.0,5.0,31432.0,89199.0,7.0,40.608183333333336,45.19225,5.432905117262294e-07,2016-04-24,,,,,,,market_closed
11281.0,24126.0,10.0,38826.0,106718.0,9.0,45.40981166666666,42.634728333333335,2.2164046926502213e-07,2016-04-25,2089.37,2089.37,2077.52,2087.79,2087.79,3319740000.0,market_open
18033.0,38488.0,16.0,69899.0,205226.0,17.0,26.044346666666662,32.87573,0.0,2016-04-26,2089.84,2096.87,2085.8,2091.7,2091.7,3557190000.0,market_open
60256.0,132434.0,40.0,40899.0,128689.0,11.0,46.832953333333336,43.18882,3.069371802531419e-09,2016-04-27,2092.33,2099.89,2082.31,2095.15,2095.15,4100110000.0,market_open
14369.0,27149.0,9.0,48120.0,151069.0,12.0,43.88612666666667,36.81850777777778,2.293190808253756e-07,2016-04-28,2090.93,2099.3,2071.62,2075.81,2075.81,4309840000.0,market_open
14268.0,28694.0,13.0,32280.0,92200.0,5.0,41.48158333333333,29.224453333333333,2.093256241761536e-10,2016-04-29,2071.82,2073.85,2052.28,2065.3,2065.3,4704720000.0,market_open
9279.0,18237.0,7.0,30792.0,88316.0,6.0,40.57606333333333,30.749686666666666,4.364100479388123e-10,2016-04-30,,,,,,,market_closed
12574.0,30859.0,7.0,28492.0,90692.0,8.0,47.669086666666665,43.957363333333326,4.7152331463959e-08,2016-05-01,,,,,,,market_closed
15955.0,32301.0,16.0,63392.0,184988.0,15.0,45.18243777777778,38.05966222222222,6.013945936957971e-07,2016-05-10,2062.63,2084.87,2062.63,2084.39,2084.39,3600200000.0,market_open
19125.0,42726.0,13.0,59847.0,184867.0,13.0,44.618226666666665,37.7839,1.130501220399772e-07,2016-05-11,2083.29,2083.29,2064.46,2064.46,2064.46,3821980000.0,market_open
20446.0,37282.0,14.0,15748.0,57782.0,3.0,41.15836333333333,30.726703333333333,1.3019134992020782e-09,2016-05-12,2067.17,2073.99,2053.13,2064.11,2064.11,3782390000.0,market_open
13710.0,27381.0,11.0,21529.0,55772.0,3.0,37.69629333333333,33.806826666666666,3.53589037645162e-09,2016-05-13,2062.5,2066.79,2043.13,2046.61,2046.61,3579880000.0,market_open
7488.0,13151.0,5.0,20810.0,57844.0,3.0,40.44739666666666,32.97691666666666,1.247755184755464e-09,2016-05-14,,,,,,,market_closed
5209.0,12979.0,3.0,61684.0,182825.0,15.0,40.041673333333335,34.703223333333334,1.3038559519308315e-09,2016-05-15,,,,,,,market_closed
16705.0,30233.0,10.0,63982.0,183194.0,16.0,40.03592,35.02928333333333,1.4314757502344143e-09,2016-05-16,2046.53,2071.88,2046.53,2066.66,2066.66,3501360000.0,market_open
