unique_id_x,retweets,favorites,handle_x,fecha,adjpoll_clinton,adjpoll_trump,index_weighted
HillaryClinton_2016417,10343,18407,HillaryClinton,2016-04-17,49.39018333333333,36.71456,7.1084286517299374e-09
realDonaldTrump_2016417,37798,111713,realDonaldTrump,2016-04-17,49.39018333333333,36.71456,7.1084286517299374e-09
HillaryClinton_2016418,15774,32522,HillaryClinton,2016-04-18,41.70733166666667,41.84916333333333,0.0
realDonaldTrump_2016418,30166,81057,realDonaldTrump,2016-04-18,41.70733166666667,41.84916333333333,0.0
HillaryClinton_2016419,19237,41969,HillaryClinton,2016-04-19,42.94991388888889,43.854084444444446,1.1965085976112345e-06
realDonaldTrump_2016419,71062,196358,realDonaldTrump,2016-04-19,42.94991388888889,43.854084444444446,1.1965085976112345e-06
HillaryClinton_2016420,38537,95533,HillaryClinton,2016-04-20,45.14144166666667,40.746181666666665,8.987424291207963e-07
realDonaldTrump_2016420,30635,91925,realDonaldTrump,2016-04-20,45.14144166666667,40.746181666666665,8.987424291207963e-07
HillaryClinton_2016421,11666,26331,HillaryClinton,2016-04-21,41.58990666666667,45.99780333333334,3.079167635970848e-08
realDonaldTrump_2016421,24147,71647,realDonaldTrump,2016-04-21,41.58990666666667,45.99780333333334,3.079167635970848e-08
HillaryClinton_2016422,15971,33700,HillaryClinton,2016-04-22,28.92898333333333,49.27119666666667,1.4866739636166245e-07
realDonaldTrump_2016422,23852,74276,realDonaldTrump,2016-04-22,28.92898333333333,49.27119666666667,1.4866739636166245e-07
HillaryClinton_2016423,14289,28235,HillaryClinton,2016-04-23,46.98506666666666,40.28533,7.418011143028052e-08
realDonaldTrump_2016423,35666,109305,realDonaldTrump,2016-04-23,46.98506666666666,40.28533,7.418011143028052e-08
HillaryClinton_2016424,10336,18828,HillaryClinton,2016-04-24,40.608183333333336,45.19225,5.432905117262294e-07
realDonaldTrump_2016424,31432,89199,realDonaldTrump,2016-04-24,40.608183333333336,45.19225,5.432905117262294e-07
HillaryClinton_2016425,11281,24126,HillaryClinton,2016-04-25,45.40981166666666,42.634728333333335,2.2164046926502213e-07
realDonaldTrump_2016425,38826,106718,realDonaldTrump,2016-04-25,45.40981166666666,42.634728333333335,2.2164046926502213e-07
HillaryClinton_2016426,18033,38488,HillaryClinton,2016-04-26,26.044346666666662,32.87573,0.0
realDonaldTrump_2016426,69899,205226,realDonaldTrump,2016-04-26,26.044346666666662,32.87573,0.0
HillaryClinton_2016427,60256,132434,HillaryClinton,2016-04-27,46.832953333333336,43.18882,3.069371802531419e-09
realDonaldTrump_2016427,40899,128689,realDonaldTrump,2016-04-27,46.832953333333336,43.18882,3.069371802531419e-09
HillaryClinton_2016428,14369,27149,HillaryClinton,2016-04-28,43.88612666666667,36.81850777777778,2.293190808253756e-07
realDonaldTrump_2016428,48120,151069,realDonaldTrump,2016-04-28,43.88612666666667,36.81850777777778,2.293190808253756e-07
HillaryClinton_2016429,14268,28694,HillaryClinton,2016-04-29,41.48158333333333,29.224453333333333,2.0932562417615356e-10
realDonaldTrump_2016429,32280,92200,realDonaldTrump,2016-04-29,41.48158333333333,29.224453333333333,2.0932562417615356e-10
HillaryClinton_2016430,9279,18237,HillaryClinton,2016-04-30,40.57606333333333,30.749686666666666,4.364100479388123e-10
realDonaldTrump_2016430,30792,88316,realDonaldTrump,2016-04-30,40.57606333333333,30.749686666666666,4.364100479388123e-10
HillaryClinton_201651,12574,30859,HillaryClinton,2016-05-01,47.669086666666665,43.957363333333326,4.7152331463958995e-08
realDonaldTrump_201651,28492,90692,realDonaldTrump,2016-05-01,47.669086666666665,43.957363333333326,4.7152331463958995e-08
HillaryClinton_2016510,15955,32301,HillaryClinton,2016-05-10,45.18243777777778,38.05966222222222,6.013945936957971e-07
realDonaldTrump_2016510,63392,184988,realDonaldTrump,2016-05-10,45.18243777777778,38.05966222222222,6.013945936957971e-07
HillaryClinton_2016511,19125,42726,HillaryClinton,2016-05-11,44.618226666666665,37.7839,1.130501220399772e-07
realDonaldTrump_2016511,59847,184867,realDonaldTrump,2016-05-11,44.618226666666665,37.7839,1.130501220399772e-07
HillaryClinton_2016512,20446,37282,HillaryClinton,2016-05-12,41.15836333333333,30.726703333333333,1.3019134992020784e-09
realDonaldTrump_2016512,15748,57782,realDonaldTrump,2016-05-12,41.15836333333333,30.726703333333333,1.3019134992020784e-09
HillaryClinton_2016513,13710,27381,HillaryClinton,2016-05-13,37.69629333333333,33.806826666666666,3.5358903764516205e-09
realDonaldTrump_2016513,21529,55772,realDonaldTrump,2016-05-13,37.69629333333333,33.806826666666666,3.5358903764516205e-09
HillaryClinton_2016514,7488,13151,HillaryClinton,2016-05-14,40.44739666666666,32.97691666666666,1.2477551847554641e-09
realDonaldTrump_2016514,20810,57844,realDonaldTrump,2016-05-14,40.44739666666666,32.97691666666666,1.2477551847554641e-09
HillaryClinton_2016515,5209,12979,HillaryClinton,2016-05-15,40.041673333333335,34.703223333333334,1.3038559519308315e-09
realDonaldTrump_2016515,61684,182825,realDonaldTrump,2016-05-15,40.041673333333335,34.703223333333334,1.3038559519308315e-09
HillaryClinton_2016516,16705,30233,HillaryClinton,2016-05-16,40.03592,35.02928333333333,1.4314757502344143e-09
realDonaldTrump_2016516,63982,183194,realDonaldTrump,2016-05-16,40.03592,35.02928333333333,1.4314757502344143e-09
HillaryClinton_2016517,18548,36165,HillaryClinton,2016-05-17,40.32938,34.45666,1.599783138617645e-09
realDonaldTrump_2016517,133671,444477,realDonaldTrump,2016-05-17,40.32938,34.45666,1.599783138617645e-09
HillaryClinton_2016518,17839,42532,HillaryClinton,2016-05-18,41.124343333333336,32.88200333333333,2.1492225705699674e-09
realDonaldTrump_2016518,29109,90287,realDonaldTrump,2016-05-18,41.124343333333336,32.88200333333333,2.1492225705699674e-09
HillaryClinton_2016519,22657,49349,HillaryClinton,2016-05-19,40.71932,33.70747333333333,2.504011234464522e-09
realDonaldTrump_2016519,18735,55307,realDonaldTrump,2016-05-19,40.71932,33.70747333333333,2.504011234464522e-09
HillaryClinton_201652,18951,41938,HillaryClinton,2016-05-02,47.29393166666667,40.28409,1.7691057183447106e-06
realDonaldTrump_201652,54666,160972,realDonaldTrump,2016-05-02,47.29393166666667,40.28409,1.7691057183447106e-06
HillaryClinton_2016520,29224,59049,HillaryClinton,2016-05-20,40.51376,33.834763333333335,2.6735300215379253e-09
realDonaldTrump_2016520,71477,208172,realDonaldTrump,2016-05-20,40.51376,33.834763333333335,2.6735300215379253e-09
HillaryClinton_2016521,14600,27870,HillaryClinton,2016-05-21,41.10875333333333,33.86156666666667,2.4105300610361262e-09
realDonaldTrump_2016521,91031,196222,realDonaldTrump,2016-05-21,41.10875333333333,33.86156666666667,2.4105300610361262e-09
HillaryClinton_2016522,12435,31365,HillaryClinton,2016-05-22,47.16302,40.30889,3.8347468661498833e-08
