unique_id,adjpoll_clinton,adjpoll_trump,handle,fecha,index_weighted
20151113_Clinton vs. Trump,49.39018333333333,36.71456,Clinton vs. Trump,2015-11-13,7.108428651729937e-09
20151115_Clinton vs. Trump,41.70733166666667,41.84916333333333,Clinton vs. Trump,2015-11-15,0.0
20151116_Clinton vs. Trump,42.94991388888889,43.854084444444446,Clinton vs. Trump,2015-11-16,1.1965085976112345e-06
20151117_Clinton vs. Trump,45.14144166666667,40.746181666666665,Clinton vs. Trump,2015-11-17,8.987424291207963e-07
20151119_Clinton vs. Trump,41.58990666666667,45.99780333333334,Clinton vs. Trump,2015-11-19,3.079167635970848e-08
20151123_Clinton vs. Trump,28.92898333333333,49.27119666666667,Clinton vs. Trump,2015-11-23,1.4866739636166245e-07
20151130_Clinton vs. Trump,46.98506666666666,40.28533,Clinton vs. Trump,2015-11-30,7.418011143028051e-08
2015118_Clinton vs. Trump,40.608183333333336,45.19225,Clinton vs. Trump,2015-11-08,5.432905117262294e-07
20151213_Clinton vs. Trump,45.40981166666666,42.634728333333335,Clinton vs. Trump,2015-12-13,2.2164046926502213e-07
20151214_Clinton vs. Trump,26.044346666666666,32.87573,Clinton vs. Trump,2015-12-14,0.0
20151215_Clinton vs. Trump,46.832953333333336,43.18882,Clinton vs. Trump,2015-12-15,3.069371802531419e-09
20151217_Clinton vs. Trump,43.88612666666667,36.81850777777778,Clinton vs. Trump,2015-12-17,2.293190808253756e-07
20151218_Clinton vs. Trump,41.48158333333333,29.224453333333333,Clinton vs. Trump,2015-12-18,2.0932562417615354e-10
20151219_Clinton vs. Trump,40.57606333333333,30.749686666666666,Clinton vs. Trump,2015-12-19,4.364100479388123e-10
2015121_Clinton vs. Trump,47.669086666666665,43.957363333333326,Clinton vs. Trump,2015-12-01,4.715233146395899e-08
20151220_Clinton vs. Trump,45.18243777777778,38.05966222222222,Clinton vs. Trump,2015-12-20,6.013945936957971e-07
20151221_Clinton vs. Trump,44.618226666666665,37.783899999999996,Clinton vs. Trump,2015-12-21,1.1305012203997719e-07
20151222_Clinton vs. Trump,41.158363333333334,30.726703333333333,Clinton vs. Trump,2015-12-22,1.3019134992020786e-09
20151223_Clinton vs. Trump,37.69629333333333,33.806826666666666,Clinton vs. Trump,2015-12-23,3.53589037645162e-09
20151224_Clinton vs. Trump,40.44739666666666,32.97691666666666,Clinton vs. Trump,2015-12-24,1.247755184755464e-09
20151225_Clinton vs. Trump,40.041673333333335,34.703223333333334,Clinton vs. Trump,2015-12-25,1.3038559519308317e-09
20151226_Clinton vs. Trump,40.035920000000004,35.02928333333333,Clinton vs. Trump,2015-12-26,1.4314757502344143e-09
20151227_Clinton vs. Trump,40.32938,34.45666,Clinton vs. Trump,2015-12-27,1.5997831386176453e-09
20151228_Clinton vs. Trump,41.124343333333336,32.88200333333333,Clinton vs. Trump,2015-12-28,2.1492225705699674e-09
20151229_Clinton vs. Trump,40.71932,33.70747333333333,Clinton vs. Trump,2015-12-29,2.504011234464522e-09
2015122_Clinton vs. Trump,47.29393166666667,40.28409,Clinton vs. Trump,2015-12-02,1.7691057183447106e-06
20151230_Clinton vs. Trump,40.51376,33.834763333333335,Clinton vs. Trump,2015-12-30,2.6735300215379257e-09
20151231_Clinton vs. Trump,41.10875333333333,33.86156666666667,Clinton vs. Trump,2015-12-31,2.4105300610361262e-09
2015123_Clinton vs. Trump,47.163019999999996,40.30889,Clinton vs. Trump,2015-12-03,3.8347468661498833e-08
2015126_Clinton vs. Trump,45.690866666666665,42.629176666666666,Clinton vs. Trump,2015-12-06,1.061699751855083e-07
2015127_Clinton vs. Trump,41.06328333333334,46.38348333333334,Clinton vs. Trump,2015-12-07,5.567871063951573e-10
2015128_Clinton vs. Trump,49.26058333333333,46.796776666666666,Clinton vs. Trump,2015-12-08,9.888049075474022e-09
2015129_Clinton vs. Trump,44.511536666666665,42.16751,Clinton vs. Trump,2015-12-09,5.079789666015683e-07
20161010_Clinton vs. Trump,43.18304153846154,42.56979307692308,Clinton vs. Trump,2016-10-10,1.0602640537554564
20161011_Clinton vs. Trump,42.00133066666667,41.981718,Clinton vs. Trump,2016-10-11,1.2729870577048876
20161012_Clinton vs. Trump,42.660592666666666,43.38562566666667,Clinton vs. Trump,2016-10-12,1.1706985162877335
20161013_Clinton vs. Trump,42.480639601990056,42.53530333333333,Clinton vs. Trump,2016-10-13,1.6938886245283682
20161014_Clinton vs. Trump,41.94061323076923,40.65890830769231,Clinton vs. Trump,2016-10-14,0.9043647524105324
20161015_Clinton vs. Trump,43.610562549019605,42.38706647058823,Clinton vs. Trump,2016-10-15,1.0878631200932505
20161016_Clinton vs. Trump,43.63706070707071,41.5621705050505,Clinton vs. Trump,2016-10-16,1.2284416132818392
20161017_Clinton vs. Trump,44.21216428571429,42.62833166666667,Clinton vs. Trump,2016-10-17,0.9870458439317844
20161018_Clinton vs. Trump,43.55721122807017,41.80948736842105,Clinton vs. Trump,2016-10-18,1.478534700863202
20161019_Clinton vs. Trump,41.957273478260866,42.064727777777776,Clinton vs. Trump,2016-10-19,1.3367778007664755
2016101_Clinton vs. Trump,43.86522388888889,42.42498388888889,Clinton vs. Trump,2016-10-01,0.07335066337525963
20161020_Clinton vs. Trump,42.14965989417989,43.69179634920635,Clinton vs. Trump,2016-10-20,1.0623411096471491
20161021_Clinton vs. Trump,40.34279303030303,45.33018575757576,Clinton vs. Trump,2016-10-21,0.8475412948980685
20161022_Clinton vs. Trump,44.847711333333336,42.21428783333333,Clinton vs. Trump,2016-10-22,2.0916704224345133
20161023_Clinton vs. Trump,44.51110579710144,42.87103826086956,Clinton vs. Trump,2016-10-23,1.7608204598377235
20161024_Clinton vs. Trump,42.276658833333336,42.08151408333333,Clinton vs. Trump,2016-10-24,4.7354911860864295
20161025_Clinton vs. Trump,42.817695394736845,42.8477383245614,Clinton vs. Trump,2016-10-25,3.4499601955955383
20161026_Clinton vs. Trump,43.41401948717949,42.50522042490843,Clinton vs. Trump,2016-10-26,5.722921873694354
20161027_Clinton vs. Trump,41.830991862745094,43.49215362745098,Clinton vs. Trump,2016-10-27,3.4160925216274833
20161028_Clinton vs. Trump,42.184512676767675,42.8507969949495,Clinton vs. Trump,2016-10-28,3.367716153242222
