retweets_clinton,favorites_clinton,tw_count_cl,fecha,retweets_trump,favorites_trump,tw_count_tr,adjpoll_clinton,adjpoll_trump,index_weighted
10343.0,18407.0,9.0,2016-04-17,37798,111713,7,49.39018333333333,36.71456,7.1084286517299374e-09
15774.0,32522.0,16.0,2016-04-18,30166,81057,7,41.70733166666667,41.84916333333333,0.0
19237.0,41969.0,17.0,2016-04-19,71062,196358,19,42.94991388888889,43.854084444444446,1.1965085976112345e-06
38537.0,95533.0,26.0,2016-04-20,30635,91925,7,45.14144166666667,40.746181666666665,8.987424291207963e-07
11666.0,26331.0,10.0,2016-04-21,24147,71647,4,41.58990666666667,45.99780333333334,3.079167635970848e-08
15971.0,33700.0,15.0,2016-04-22,23852,74276,6,28.92898333333333,49.27119666666667,1.4866739636166245e-07
14289.0,28235.0,13.0,2016-04-23,35666,109305,11,46.98506666666666,40.28533,7.418011143028052e-08
10336.0,18828.0,5.0,2016-04-24,31432,89199,7,40.608183333333336,45.19225,5.432905117262294e-07
11281.0,24126.0,10.0,2016-04-25,38826,106718,9,45.40981166666666,42.634728333333335,2.2164046926502213e-07
18033.0,38488.0,16.0,2016-04-26,69899,205226,17,26.044346666666662,32.87573,0.0
60256.0,132434.0,40.0,2016-04-27,40899,128689,11,46.832953333333336,43.18882,3.069371802531419e-09
14369.0,27149.0,9.0,2016-04-28,48120,151069,12,43.88612666666667,36.81850777777778,2.293190808253756e-07
14268.0,28694.0,13.0,2016-04-29,32280,92200,5,41.48158333333333,29.224453333333333,2.0932562417615356e-10
9279.0,18237.0,7.0,2016-04-30,30792,88316,6,40.57606333333333,30.749686666666666,4.364100479388123e-10
12574.0,30859.0,7.0,2016-05-01,28492,90692,8,47.669086666666665,43.957363333333326,4.7152331463958995e-08
15955.0,32301.0,16.0,2016-05-10,63392,184988,15,45.18243777777778,38.05966222222222,6.013945936957971e-07
19125.0,42726.0,13.0,2016-05-11,59847,184867,13,44.618226666666665,37.7839,1.130501220399772e-07
20446.0,37282.0,14.0,2016-05-12,15748,57782,3,41.15836333333333,30.726703333333333,1.3019134992020784e-09
13710.0,27381.0,11.0,2016-05-13,21529,55772,3,37.69629333333333,33.806826666666666,3.5358903764516205e-09
7488.0,13151.0,5.0,2016-05-14,20810,57844,3,40.44739666666666,32.97691666666666,1.2477551847554641e-09
5209.0,12979.0,3.0,2016-05-15,61684,182825,15,40.041673333333335,34.703223333333334,1.3038559519308315e-09
16705.0,30233.0,10.0,2016-05-16,63982,183194,16,40.03592,35.02928333333333,1.4314757502344143e-09
